title,availability,price,category,shop,weight
Шкаф медицинский двухстворчатый со стеклом и ящиками ШМЛЯ СКБ-2С,1,22 920 руб.,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов металлический ШМ (белый),1,32 770 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский МСК-5647.01-11 (ШМ-04) нерж.сталь,1,121 700 руб.,Медицинская мебель,Железная мебель,['45']
Шкаф для медикаментов металлический ШМ.1 (белый),1,30 460 руб.,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов стекло/металл ШМ-2 (белый),1,32 770 руб.,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов стекло/металл ШМ-2.1 (белый),1,30 460 руб.,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов (стекло) ШМ-3 (белый),1,49 690 руб.,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов (стекло) ШМ-3.1 (белый),1,45 580 руб.,Медицинская мебель,Железная мебель,[]
"Шкаф металлический для медикаментов, с ящиками ШдМ-2 (белый)",1,47 470 руб.,Медицинская мебель,Железная мебель,[]
"Шкаф металлический для медикаментов, с ящиками ШдМ-2.1 (белый)",1,41 440 руб.,Медицинская мебель,Железная мебель,[]
"Шкаф металлический для медикаментов (стекло), с ящиками ШдМ-3 (белый)",1,47 470 руб.,Медицинская мебель,Железная мебель,[]
"Шкаф металлический для медикаментов (стекло), с ящиками ШдМ-3.1 (белый)",1,41 440 руб.,Медицинская мебель,Железная мебель,[]
Шкаф металлический для медикаментов с сейфом ШдМ-4 (белый),1,39 500 руб.,Медицинская мебель,Железная мебель,[]
Шкаф металлический для медикаментов с сейфом ШдМ-4.1 (белый),1,34 930 руб.,Медицинская мебель,Железная мебель,[]
Шкаф металлический для медикаментов с сейфом (стекло) ШдМ-5 (белый),1,39 500 руб.,Медицинская мебель,Железная мебель,[]
Шкаф металлический для медикаментов с сейфом (стекло) ШдМ-5.1 (белый),1,34 930 руб.,Медицинская мебель,Железная мебель,[]
"Шкаф для медикаментов стекло в металлической рамке, с ящиками ШМ-4 (белый)",1,83 110 руб.,Медицинская мебель,Железная мебель,[]
"Шкаф для медикаментов стекло в металлической рамке, с ящиками ШМ-4.1 (белый)",1,80 880 руб.,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов ШМ-5 (белый),1,87 060 руб.,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов ШМ-5.1 (белый),1,83 850 руб.,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов ШМ-6 (белый),1,91 420 руб.,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов ШМ-6.1 (белый),1,88 040 руб.,Медицинская мебель,Железная мебель,[]
Шкаф металлический для медикаментов с сейфом ШдМ (белый),1,70 760 руб.,Медицинская мебель,Железная мебель,[]
